172.179.180.165 - - [25/Sep/2024:13:07:03 +0000] "HEAD /static/images/shape/shape-7.png HTTP/1.1" 200 4087 "-" "Mozilla/5.0 (X11; Linux i686; rv:128.0) Gecko/20100101 Firefox/128.0"
172.179.180.165 - - [25/Sep/2024:13:07:04 +0000] "HEAD /static/images/shape/shape-9.png HTTP/1.1" 200 4085 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
172.179.180.165 - - [25/Sep/2024:13:07:04 +0000] "HEAD /faq HTTP/1.1" 200 4006 "-" "Mozilla/5.0 (X11; Linux i686; rv:128.0) Gecko/20100101 Firefox/128.0"
172.179.180.165 - - [25/Sep/2024:13:07:04 +0000] "HEAD /static/images/shape/shape-8.png HTTP/1.1" 200 4087 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
199.244.88.226 - - [25/Sep/2024:13:45:12 +0000] "GET / HTTP/1.1" 302 407 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
175.22.145.3 - - [25/Sep/2024:13:57:02 +0000] "GET / HTTP/1.1" 200 13406 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
175.22.145.3 - - [25/Sep/2024:13:57:04 +0000] "GET /static/css/plugins/bootstrap.min.css HTTP/1.1" 200 156053 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:10 +0000] "GET /holistic HTTP/1.1" 200 39898 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:12 +0000] "GET /dfasting HTTP/1.1" 200 41616 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:15 +0000] "GET /body_vagus HTTP/1.1" 200 44781 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:19 +0000] "GET /static/images/shape/shape-1.png HTTP/1.1" 200 6829 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:20 +0000] "GET /static/images/brand/motherearth.jpg HTTP/1.1" 200 35790 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:22 +0000] "GET /static/js/plugins/jquery.nice-select.min.js HTTP/1.1" 200 3236 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:23 +0000] "GET /static/css/plugins/flaticon.css HTTP/1.1" 200 1442 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:23 +0000] "GET /static/css/plugins/nice-select.css HTTP/1.1" 200 4287 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:23 +0000] "GET /home HTTP/1.1" 200 67880 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:37 +0000] "GET /rbti HTTP/1.1" 200 45539 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:49 +0000] "GET /static/images/shape/shape-6.png HTTP/1.1" 200 22351 "-" "Go-http-client/1.1"
175.22.145.3 - - [25/Sep/2024:13:57:50 +0000] "GET /static/images/brand/doterra%20-%201.jpg HTTP/1.1" 200 259265 "-" "Go-http-client/1.1"
185.184.155.109 - - [25/Sep/2024:14:08:31 +0000] "GET /wp-login.php HTTP/1.1" 301 496 "-" "Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/95.0"
185.184.155.109 - - [25/Sep/2024:14:08:31 +0000] "GET /wp-login.php HTTP/1.1" 404 3497 "http://www.hamrishealthandwellness.com/wp-login.php" "Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/95.0"
146.75.222.1 - - [25/Sep/2024:14:28:00 +0000] "GET / HTTP/1.1" 200 13477 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
146.75.222.1 - - [25/Sep/2024:14:28:00 +0000] "GET /static/css/plugins/flaticon.css HTTP/1.1" 200 751 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
146.75.222.1 - - [25/Sep/2024:14:28:00 +0000] "GET /static/css/plugins/icofont.min.css HTTP/1.1" 200 21122 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
146.75.222.1 - - [25/Sep/2024:14:28:00 +0000] "GET /static/css/plugins/magnific-popup.css HTTP/1.1" 200 2203 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
146.75.222.1 - - [25/Sep/2024:14:28:01 +0000] "GET /static/css/plugins/nice-select.css HTTP/1.1" 200 1399 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
146.75.222.1 - - [25/Sep/2024:14:28:01 +0000] "GET /static/css/style.css HTTP/1.1" 200 27044 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
104.28.57.253 - - [25/Sep/2024:14:28:01 +0000] "GET /static/css/plugins/bootstrap.min.css HTTP/1.1" 200 27196 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
104.28.57.253 - - [25/Sep/2024:14:28:01 +0000] "GET /static/css/plugins/animate.min.css HTTP/1.1" 200 9494 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
146.75.222.1 - - [25/Sep/2024:14:28:01 +0000] "GET /static/js/vendor/modernizr-3.11.2.min.js HTTP/1.1" 200 3989 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
104.28.57.253 - - [25/Sep/2024:14:28:01 +0000] "GET /static/css/plugins/swiper-bundle.min.css HTTP/1.1" 200 8391 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
104.28.57.253 - - [25/Sep/2024:14:28:01 +0000] "GET /static/css/plugins/font-awesome.min.css HTTP/1.1" 200 11274 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
146.75.222.1 - - [25/Sep/2024:14:28:01 +0000] "GET /static/js/vendor/jquery-3.5.1.min.js HTTP/1.1" 200 31379 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
104.28.57.253 - - [25/Sep/2024:14:28:01 +0000] "GET /static/js/plugins/popper.min.js HTTP/1.1" 200 7050 "https://hamrishealthandwellness.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
